,COUNTY_FIPS_CODE,WATER_QUALITY_COUNTY_SCORE
12248,13301.0,50.526842652
12252,13303.0,45.904634223
12258,13305.0,45.1134243
12262,13307.0,42.219075228
12264,13309.0,42.706995364
12266,13311.0,51.0999659
12269,13315.0,42.387108928
12273,13317.0,28.964605414
12276,13319.0,43.151159772
12281,13321.0,39.271397877
12286,15001.0,30.974301112
12313,15003.0,44.612339429
12342,15007.0,36.419594297
12358,15009.0,40.619242629
12372,16001.0,60.720430728
12387,16003.0,54.971582323
12391,16005.0,54.785524895
12400,16007.0,55.432117175
12409,16009.0,51.765376286
12415,16011.0,57.913859434
12423,16013.0,59.256212197
12428,16015.0,63.738120536
12433,16017.0,62.037802576
12447,16019.0,62.121734356
12455,16021.0,53.865566969
12459,16023.0,37.414222504
12462,16025.0,47.05916402
12464,16027.0,65.2226277
12475,16029.0,50.161984247
12478,16031.0,58.873654171
12484,16033.0,45.207837049
12486,16035.0,54.689809821
12491,16037.0,55.743080981
12495,16039.0,64.531955579
12500,16041.0,57.884958364
12506,16043.0,67.090714853
12513,16045.0,58.956068507
12516,16047.0,57.33366634
12521,16049.0,58.90324542
12533,16051.0,61.04491576
12541,16053.0,58.831927363
12544,16055.0,61.996878397
12556,16057.0,56.875816181
12566,16059.0,56.601905639
12574,16061.0,49.460638913
12578,16063.0,48.152288549
12581,16065.0,55.982783574
12583,16067.0,58.529569225
12586,16069.0,57.235514232
12591,16071.0,45.822706416
12592,16073.0,53.733385283
12597,16075.0,55.537954352
12600,16077.0,53.013787827
12603,16079.0,50.77627991
12615,16081.0,55.709477331
12618,16083.0,59.455469034
12626,16085.0,58.542278256
12629,16087.0,51.349927408
12632,17001.0,54.506995473
12648,17003.0,39.571884994
12653,17005.0,52.836398417
12659,17007.0,57.563139185
12664,17009.0,40.849819991
12667,17011.0,56.371328276
12690,17013.0,40.619242629
12696,17015.0,56.311968052
12703,17017.0,49.299437081
12708,17019.0,59.21205583
12737,17021.0,52.714510649
12750,17023.0,46.657063679
12757,17025.0,42.219075228
12763,17027.0,51.349927408
12773,17029.0,46.369648708
12779,17031.0,71.63006496
12943,17033.0,35.835800389
12950,17035.0,39.271397877
12956,17037.0,57.110026024
12969,17039.0,50.896443842
12977,17041.0,48.501132338
12986,17043.0,65.196175232
13022,17045.0,50.364319257
13030,17047.0,36.419594297
13034,17049.0,48.452775667
13043,17051.0,48.689974967
13051,17053.0,47.607066972
13060,17055.0,49.98682399
13076,17057.0,53.750102059
13095,17059.0,36.941815743
13101,17061.0,49.878677457
13111,17063.0,61.743972974
13120,17065.0,43.558774506
13124,17067.0,48.501132338
13139,17069.0,34.409898599
13143,17071.0,54.317179191
13151,17073.0,62.705528264
13167,17075.0,55.652959963
13188,17077.0,49.500133301
13203,17079.0,44.716691062
13210,17081.0,42.219075228
13221,17083.0,41.864887482
13227,17085.0,49.95103669
13236,17087.0,44.505743505
13243,17089.0,65.718065127
13264,17091.0,55.250539381
13280,17093.0,60.15347752
13287,17095.0,54.758365817
13303,17097.0,68.862538453
13331,17101.0,45.904634223
13335,17103.0,53.422421477
13347,17105.0,57.539887292
13364,17107.0,49.216826511
13377,17109.0,54.135268152
13388,17111.0,64.516768989
13406,17113.0,64.210931762
13431,17115.0,50.684205693
13447,17117.0,53.665948604
13467,17119.0,55.163471556
13495,17121.0,47.248608205
13506,17123.0,52.148679813
13515,17125.0,55.491194387
13524,17127.0,47.490437604
13528,17129.0,49.216826511
13533,17131.0,47.123119998
13544,17133.0,41.864887482
13549,17135.0,52.395995122
13566,17137.0,49.420827298
13575,17139.0,38.242229325
13580,17141.0,63.298750709
13595,17143.0,59.439608158
13619,17145.0,46.657063679
13624,17147.0,49.34023171
13634,17149.0,46.064535814
13649,17151.0,42.045144418
13652,17153.0,50.896443842
13660,17155.0,58.777757212
13667,17157.0,53.203716023
13680,17159.0,52.836398417
13686,17161.0,59.575411706
13703,17163.0,53.510775322
13730,17165.0,46.295113176
13737,17167.0,53.440218694
13761,17169.0,43.813010718
13766,17171.0,42.045144418
13770,17173.0,50.462471365
13783,17175.0,50.230351117
13788,17177.0,61.519411382
13802,17179.0,58.097717184
13817,17181.0,47.123119998
13824,17183.0,57.414000666
13848,17185.0,41.070146017
13852,17187.0,51.715310007
13860,17189.0,38.609546931
13870,17191.0,47.310180668
13882,17193.0,42.706995364
13891,17195.0,54.606270999
13903,17197.0,71.244747981
13934,17199.0,50.022354747
